id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
329,Canada,Economics and econometrics,,,,,Management,Prefer not to say,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Global North
330,Austria,Economics and econometrics,,,,,,Male,Postdoctoral researcher,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Global North
331,Italy,Economics and econometrics,,,,,,Male,Postdoctoral researcher,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,Global North
333,United States of America,,,,,,Business,Male,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Global North
335,Sweden,Economics and econometrics,,,,,,Female,Professor,University,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
337,United States of America,,,,,,Accounting,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,,,,,,,,,,Global North
338,Russian Federation,,,,,,"Political science, sociology",Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
339,France,,,,,Prefer not to say,,Female,Postdoctoral researcher,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
340,Germany,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Retired,Non-university research institution,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
343,United States of America,Economics and econometrics,,,,,,Male,Business or industry professional,Non-university research institution,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
344,Spain,,,,,,Marketing,Male,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Global North
345,Russian Federation,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,"General economics, econometrics and finance",,,Male,Business or industry professional,Non-university research institution,21+,Some of these articles were also deposited as working paper*,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Strongly disagree,,,,,,,,,,Global North
346,United States of America,,,,,,Agricultural economics,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
347,Canada,,,Finance,,,,Male,Associate professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
348,United States of America,Economics and econometrics,,,,,,Male,Assistant professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
349,Germany,Economics and econometrics,,,,,Sociology,Female,Postdoctoral researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Neutral,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,,,,,,,,,,,,,,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
351,United States of America,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly disagree,,,,,,,,,,Global North
352,Bangladesh,,,,,,Gender human rights and entrepreneurship,Female,Other,Non-university research institution,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Global South
354,Sweden,,,,"General economics, econometrics and finance",,,Female,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
355,Italy,,,,,,Accounting,Female,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,,,,,,,,,,Global North
356,Ecuador,Economics and econometrics,,,,,,Male,Professor,University,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Global South
357,United States of America,Economics and econometrics,,,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
358,Canada,,,,,,Sociology and history,Female,Assistant professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Global North
359,Canada,,,,,,International development,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Neutral,Global North
360,Germany,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Business or industry professional,Non-university research institution,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
361,United States of America,Economics and econometrics,,,,,Statistics,Male,Associate professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
362,Iran (Islamic Republic of),Economics and econometrics,,,,,,Male,Assistant professor,Non-university research institution,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
363,United States of America,Economics and econometrics,,,,,,Male,Business or industry professional,Non-university research institution,3-5,Some of these articles were also deposited as working paper*,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
364,India,,,,,Prefer not to say,,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Global South
366,Italy,,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,Global North
367,Slovakia,,,,,,Management,Female,Professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Neutral,Global North
368,Germany,Economics and econometrics,,,,,,Male,Assistant professor,University,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,Global North
370,Austria,,,,,,Law,Male,Business or industry professional,Business or industry,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Global North
371,Canada,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Associate professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
372,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,,Male,Professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
374,Russian Federation,,,,,,World economy and business,Female,Associate professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Global North
376,Canada,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
377,Italy,Economics and econometrics,,,,,,Female,Professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
378,Sweden,,,,,,"Business, especially value chains",Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Global North
379,Spain,,,,,,Business ethics,Male,Assistant professor,University,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly disagree,Strongly disagree,Global North
381,Spain,,,,,,Business,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
383,Austria,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
384,Canada,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Global North
385,United States of America,Economics and econometrics,,,,,,Male,Professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Global North
387,India,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,"General economics, econometrics and finance",,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
388,Iran (Islamic Republic of),Economics and econometrics,,,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global South
389,Spain,Economics and econometrics,,,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
